workload,qubits,backend,mean_ms,ci95_ms,backend_over_mettleq,result_contract
tfim_trotter,15,Qiskit Aer statevector CPU,21.675001333354277,6.423874389049697,3.666280689657409,synchronized full state
tfim_trotter,15,PennyLane Lightning CPU,16.40919166675303,2.40142145782883,2.7755801079525857,synchronized full state
tfim_trotter,20,MettleQ Metal,30.446874676272273,0.8941027126599509,1.0,synchronized full state
tfim_trotter,20,CUDA-Q NVIDIA GPU,115.75675600033719,11.941126320914833,3.8019257224633387,synchronized full state
tfim_trotter,20,PennyLane Lightning GPU,125.55982799979877,21.802683869127378,4.123898736235463,synchronized full state
tfim_trotter,20,Qiskit Aer statevector CPU,255.58524499994442,86.97741283818614,8.394465695328854,synchronized full state
tfim_trotter,20,PennyLane Lightning CPU,522.259163666907,11.46539561776821,17.153128825859813,synchronized full state
tfim_trotter,24,MettleQ Metal,446.8731249993046,8.781605215726648,1.0,synchronized full state
tfim_trotter,24,CUDA-Q NVIDIA GPU,207.2333416666273,4.842254289605976,0.463740892153561,synchronized full state
tfim_trotter,24,PennyLane Lightning GPU,1487.1096793334193,26.196921620458774,3.327811846675124,synchronized full state
tfim_trotter,24,Qiskit Aer statevector CPU,3485.915040000085,89.61158145269228,7.800681770705073,synchronized full state
tfim_trotter,24,PennyLane Lightning CPU,15064.44841166649,223.0353882465816,33.71079523229313,synchronized full state
tfim_trotter,26,MettleQ Metal,1903.9663750057418,28.579197542330444,1.0,synchronized full state
tfim_trotter,26,CUDA-Q NVIDIA GPU,471.44819633285806,0.8618981094592074,0.24761371971783708,synchronized full state
tfim_trotter,26,PennyLane Lightning GPU,6277.5656369998005,37.744093868101345,3.2970990031170424,synchronized full state
tfim_trotter,26,Qiskit Aer statevector CPU,12872.498146666658,351.8070960582737,6.760885231824453,synchronized full state
tfim_trotter,26,PennyLane Lightning CPU,63526.43067999997,958.2963167795392,33.365311233402636,synchronized full state
tfim_trotter,28,MettleQ Metal,7695.881291661256,5.145178830180429,1.0,synchronized full state
tfim_trotter,28,CUDA-Q NVIDIA GPU,1581.7058369999966,8.314613095098782,0.205526277895402,synchronized full state
tfim_trotter,28,PennyLane Lightning GPU,26345.562917666335,354.592657974949,3.4233328087080332,synchronized full state
tfim_trotter,28,Qiskit Aer statevector CPU,53621.4292436667,524.2255532519918,6.967548902003895,synchronized full state
tfim_trotter,28,PennyLane Lightning CPU,271654.5434626663,3596.78499409511,35.29869201036313,synchronized full state
